,proverb,translation,
1,அகங்கையிற் போட்டுப் புறங்கையை நக்கலாமா?,"Having placed the thing on the palm, why lick the back of the hand?",
2,அகடவிகடமாய்ப் பேசுகிறான்.,He speaks artfully.,
3,அகதிக்கு ஆகாயம் துணை,Heaven is the help of the helpless.,
4,அகதிக்குத் தெய்வமே துணை.,God Himself is the help of the helpless.,
5,அகதி சொல் அம்பலம் ஏறாது.,"The word of the destitute does not reach the assembly.An assembly of learned men or men in power. The words of the poor, whether they relate to oppression, or to other injuries, or to opinion, are not likely to find admission where alone they can avail.",
6,அகதி தலையிற் பொழுது விடிகிறது.,"Light breaks on the head of the destitute.Blame, or suspicion, will fall on the head of the unprotected and friendless. The poor are at work by break of day.",
7,"அகதி பெறுவது பெண்பிள்ளை, அதுவும் வெள்ளி பூராடம்.","The destitute brings forth a female child, and that on Friday, under the star Púrádam.Used of one suffering from an accumulation of evils. The condition of the parent, the sex of the child, the day of its birth and its ruling star are alike inauspicious.",
8,அகதியைப் பகுதி கேட்கிறதா?,What! is tribute demanded of the destitute?,
9,அகத்தில் அழகு முகத்தில் தெரியும்,The beauty of the mind appears in the face.,
10,அகத்தி ஆயிரம் காய் காய்த்தாலும் புறத்தி புறத்தியே,"Though the Agatti—Coronilla grandiflora,—brings forth by thousands, its fruit remains ungathered.Spoken of the beneficent acts of one not held in estimation, and whose kindness is not therefore appreciated. The proverb is also used of a miser whose treasures are useless.",
11,அகப்பட்டுக்கொள்வேன் என்றோ கள்ளன் களவெடுக்கிறது?,Does the thief steal in expectation of being caught?,
12,அகப்பட்டவனுக்கு அஷ்டமத்துச்சனி ஓடிப்போனவனுக்கு ஒன்பதாம் இடத்து இராஜா,"He who was caught was under the influence of Saturn in the eighth sign, and he who escaped, did so, under the influence of Saturn in the ninth.Saturn situated in the eighth sign from that of one's birth is supposed to exercise a most malignant influence. This opinion of the Hindus appears in many of their proverbs.Hindu Astronomy is made the foundation of a vast system of Astrology. The real movements and the relative positions of the planets are wrought into a systematic connection with a great variety of arbitrary divisions of the signs of the Zodiac, and of the twenty-seven Lunar Mansions. To these bodies are added various Mythological appendages, as beasts, birds, trees, &c., all of which, of course, being a part of the fine-spun theory, help to form in the view of the people generally, a more recondite and imposing system than that of Astronomy itself.The Astrological dogmas of India have an important bearing on all the domestic arrangements and practices of the people. They extend to a great variety of popular superstitions which run out into every department of life. This is seen in the lucky and unlucky months, days end other divisions of time, in the horoscope, which has a powerful controlling influence in marriage, and in other matters relating to the settlement of families and in the more general prognostics for the year as given in the Hindu Calendar. Astrology in its popular developments exerts a powerful influence on all classes of Hindu Society.",
