	proverb	translation
1	అంగటివీథిలో అబ్బా అంటే, యెవరికి పుట్టినావురా కొడకా అన్నట్టు.	When addressed [by his son] in the bazar as “Father,” he replied, “Son! unto whom wert thou born?”Want of natural affection. Selﬁsh indifference.
2	అంగట్లో అన్నీ వున్నవి, అల్లుని నోట్లో శని వున్నది.	There is every thing in the hazar, but Saturn is in the mouth of the son-in-law.Some unfortunate circumstance prevented a son-in-law from availing himself of the good fare of his father-in-law.Evil fate.
3	అంగట్లో బెల్లము గుళ్లో లింగానికి నైవేద్యము.	Offering the molasses in the bazar to the idol in the temple.Naivédyam is the ordinary oblation.Willing to be liberal at the expense of others. ​
4	అంగిట బెల్లము, ఆత్మలో విషము.	Molasses in the roof of the mouth, and poison in the heart.Honey in his mouth, words of milk; Gall in his heart, fraud in his deeds. (Latin)
5	అంగిట విషము, మున్నాలికను తియ్యదనము.	Poison in the palate, sweetness on the tip of the tongue.Full of courtesy, full of craft.
6	అంటా ముట్టరాని అగ్రహారము.	An Agraharam which should not be touched or felt.An Agraharam is a Brahman village or quarter.Said of any thing that should scrupulously be avoided.
7	అంటూ సంటూ ఆసాదివానిది, రట్టూ రవ్వా గంగానమ్మది.	All the offerings go to the priest, the noise to Ganganamma.Ganganamma is a certain village goddess.
8	అంటూ సంటూ లేని కోడలి దాని మేనమామ కొడుకు చిక్కుడు చెట్టుకిందికి పోయి పక్కలు యెగరవేశినాడట.	The wife’s maternal uncle’s son, who had nothing to do with ceremonial uncleanness, went and sobbed under the bean tree.Chikkudu Chettu is the Lablab Cultratus, often grown over a shed in the yard of a Hindu’s house.Claiming relationship.
9	అంతమాత్రమా కొడకా చెవులు పట్టుకొని తడవేవు అన్నట్టు.	Am I so well off, my son, that you should feel my ears?Said by an old woman to a thief. ​
10	అంత్య నిష్టురముకన్నా ఆది నిష్టురమే మేలు.	Annoyance at the beginning is better than annoyance at the end.A prompt denial causes less annoyance than compliance with a request and disappointment in the end.Better a friendly denial than an unwilling compliance. (German)
11	అందము చిందినట్టు, నాగరికము నష్టమయినట్టు.	His beauty has overﬂowed and his politeness has gone.Said ironically of an ugly ruffian.
12	అందములో పుట్టిన గంధపుచెక్క, ఆముదములో పుట్టిన మడ్డి.	A piece of sandal wood born of beauty, and the dregs of castor oil.
13	అందని మాని పండ్లకు ఆశ పడ్డట్టు.	Like wishing for fruit which cannot be reached.
14	అందరికి నేను లోకువ, నాకు నంబి రామాయ లోకువ.	I am below all, but Nambi Ramaya is below me.
15	అందరు వకయెత్తు, అగస్త్యుడు వకయెత్తు, అతని కమమండలం వక యెత్తు.	The whole people [of the earth], the sage Agastya, and his jar are all of equal weight.The legend is that when all the great men of the earth had, on one occasion, assembled at Kaihtsa, their weight was so great that the earth began to topple over. On this, Agsstya was sent to weigh down the other side which he accordingly did, but his presence being afterwards required at Kailasa, he transferred his virtue to his jar of holy waters, left it to balance the earth, and obeyed the summons. ​
16	అందానికి రెండు బొందలు, ఆటకు రెండు తాళాలు.	Two holes in beauty; two cymbals in a dance.Said of an ugly and bad dancer.
17	అందులో పస లేదు, గంజిలో వార్చుమన్నట్టు.	There is no substance in that, strain the rice water.Equivalent to the English "there’s nothing in him" or "there’s nothing in it."
18	అంధునకు అద్దము చూపినట్టు.	Like giving a blind man 21 looking glass.A blind man will not thank you for a looking glass.
19	అంఅటి యేరు వచ్చినది అత్తగారూ అంటే, కొలబుర్ర నాచేతిలో వున్నది కోడలా అన్నదట.	“A river of porridge has come, mother-in-law !” she cried. “But I have the measure, daughter-in-law,” replied the dame.
20	అంబలి తాగేవారికి మీసాలు ఎగబట్టేవారు కొందరా.	Do people that live on porridge keep men to hold up their mustaches ?Said of a poor man trying to appear grand.A proud mind and a poor purse are ill met.
21	అకట వికటపు రాజుకు అవిబేకి ప్రధాని, చాదస్తపు పరివారము.	A foolish minister, and a clumsy retinue, to a perverse king. ​
22	అక్కన్న మాదన్నగారు అందలమెక్కితే, సాటికి వరప్ప చెరువు కట్ట యెక్కినాడట.	When Akkanna and Madanna mounted their state palankin, Sarappa got on the bund of the tank to make him self equal.Envying and mocking the wealthy.Puppies imitating their mistresses. (Latin)
23	అగడ్తలో పడ్డ పిల్లికి అదే వైకుంఠం.	The moat is heaven to the cat that falls into it.It cannot possibly escape, and dies.An inextricable difficulty.
24	అగస్త్య బ్రాత.	The brother of Agastya.Agastya was a great sage, who was not known to have any brother.Applied to a new-comer, attempting to make himself out a great personage.
25	అగ్గువ అయితే అంగడికి వస్తుంది.	When it is cheap, it comes to the bazar.
26	అగ్గువ అయితే అందరూ కొంటారు.	When it is cheap, all will buy.
27	అగ్నిలో మిడత పడ్డట్టు.	Like a grass-hopper jumping into the ﬁre (ﬂame).To try, they say, to extinguish it.Applied to rash acts. ​
28	అగ్నిహోత్రమునకు పోయిన సోమిదేవమ్మ ఆరు నెలల గర్బముతో వచ్చినది.	Somidévamma Went for ﬁre (for the sacriﬁce) and came back six months in pregnancy.Somidévamma is an honoriﬁc title given to the wife of a sacriﬁcing priest; she is supposed to be very pious.
29	అగ్నిహోత్రములో అజ్యము పోశినట్టు.	Like ghee poured on ﬁre.To cast oil in the ﬁre is not the way to quench it.
30	అచ్చం తిరుమణిధారి అయితే పుల్ల పట్టడంలోనే తెలుసును.	You can tell Whether he is really a Vaishnava or not by the way in which he holds the pencil.Tirumani is the clay used for the sectarian mark worn on the forehead by Vaishnavas, and Pulla is a bit of grass with which the mark is made.Halt not before a cripple.
31	అచ్చివచ్చిన భూమి అడిగిడే చాలును.	If the ground is lucky, a foot of it is enough.Luck is all.
32	అటయితే కందిపప్పు, యిటయెతే పెసరపప్పు.	In the one case Kandi, in the other Pesara.Kandi is the Cajanus Indicus; Pesara is the Phaseolus Mungo.Said by a Brahman quack referring to the recovery or death of his patient. In either case he is feasted. ​
33	అటయితే వైద్యకట్నము, యిటయితే వైతరణిగోదానము.	In the one case, Medical fees; in the other, the gift of a Vaitarani cow.A cow is presented at funerals to a Brahman to enable the soul of the deceased to get across the burning river Vaitarani which is said to separate heaven from earth.Said by a Brahman priest and doctor.
34	అట్లువండే ఆబిడకు ఆరుగురు అమర్చవలెను.	A Hopper-woman requiring six people to assist her."Hopper" is a kind of cake ( Tamil அப்பம்).Said of a person giving himself airs.
35	అడకత్తులోని పోక.	Like a nut in the nippers.Adakattu are nippers used for breaking Areca nuts.To be between the hammer and the anvil. (french)
36	అడగనేరను, వూడ్చిపెట్టుమన్నట్టు.	I cannot ask, sweep the whole [ into my dish ].Feigned modesty.I don’t want it, I don’t want it, but put it into my hood. (Spanish.)
37	అడిగేవానికి చెప్పేవాడు లోకువ.	He who has to answer is inferior to him who questions.It is one thing to put questions, another to answer them.
38	అడియాశ పొడియాశ దుఃఖానకు కారణము.	Vain hopes are a source of grief.Hope and expectation are a fool's income. (Danish) ​
39	అడవి కాచిన వెన్నెల.	Like moon-light in the jungle.Wasted on a spot where it is not appreciated.
40	అడవి నక్కలకు కొత్వాలు దురాయా.	What does a wild Jackal care for the threats of a Police Ofﬁcer ?What does the moon care if the dogs bark at her? (German.)
41	అడవి వుశిరికకాయ, సముద్రపు వుప్పు కలిశినట్టు.	Like salt from the sea being mixed with Emblic Myrobalan grown in the [ distant] jungle.Usirikakaya is the Emblica Offleinalis.Used with reference to an advantage gained by an unlocked for coincidence.
42	అడుగులోనే హంసపాదా.	What! a caret in the commencement ?Said by a man to an ignorant scribe who, in writing the customary invocation "Sri Ramarajya" at the heading of a letter, omitted a syllable.Blundering at the very beginning of any business.He who begins ill finishes worse. (Italian.)Well begun is half done.
43	అడుసులో నాటిన స్తంభము.	A post ﬁxed in the mire [swinging to and fro].Said of a time server.To sit on two stools. (Latin) ​
44	అడ్డగోడమీది పిల్లి.	Like the cat on the cross wall.It can jump down either side.Applied to an unprincipled, double-dealing person.Jack o' both sides.
45	అడ్డెడు తవ్వెడు బియ్యము యిచ్చి అమ్మా నీ ప్రసాదము అన్నట్టు.	Like giving [a cook] two and a half measures of rice and saying, “Madam, this is your gift.”The cook gets four-ﬁfths of the rice for herself, and yet she must be coaxed to cook the food. The allusion is to a traveller endeavouring to get some person to cook for him.
46	అతడు వుంటే మంగలివాణ్ని అయినా పిలుచును.	[Like a widow saying] “if he were alive, he would at least call the barber.”This is a reproach to the husband as being a useless fellow only ﬁt to be employed as a messenger, and is also a joke, as the widow only, and not the wife, requires the services of a barber, to shave her head.
47	అతిరహస్యం బట్టబయలు.	The great secret is laid bare to all.Tom Noddy’s secret.
48	అత్త కొట్టిన కుండ అడుగోటి కుండ, కోడలు కొట్టిన కుండ కొత్త కుండ.	The pot broken by the mother-in-law was a cracked pot, the pot broken by the daughter-in-law was a new pot.
49	అత్తగారి సాధింపు.	The rancour of a mother-in-law.Among Hindus the husband’s mother, when living, rules the house. and to her the wife is subject.The husband's mother is the wife's devil. (Germain). ​
50	అత్త చస్తే కోడలు యేడ్చినట్లు.	Like the daughter-in-law lamenting the death of her mother in-law.Feigned sorrow.Crocodile tears.
51	అత్తచేశిన పనులకు ఆరళ్లు లేవు.	There is no one to blame the mother-in-law.
52	అత్తతో చెప్పి అషు అనిపించలేడుగాని, లంభించడానకు బ్రహ్మకొడుకు.	He was not able to get the consent of my mother-in-law [ to give me my wife, ] but he is a very son of Brahma in reviling.
53	అత్తపేరు బెట్టి కూతురిని కుంపట్లో వేశినట్లు.	Giving her child her mother-in-law’s name, she threw it into the ﬁre.Cutting off one's nose to spite one's face.
54	అత్త మంచీ, వేముల తీపూ లేదు.	There is no goodness in a mother-in-law nor sweetness in Margosa trees.Vêmu is the Azadirachts lndica.She is well married who has neither mother-in-law nor sister-in-law (Spanish)
55	అత్తలేని కోడలు వుత్తమురాలు, కోడలులేని అత్త గుణవంతురాలు.	Where there is no mother-in-law, the daughter-in-law is perfect; where there is no daughter-in-law, the mother-in-law is good tempered.As long I was a daughter-in-law I never had a good mother-in-law, and as long as I was a mother-in-law I never had a good daughter-in-law. (Spanish) ​
56	అత్తవల్ల దొంగతనమున్ను, మగనివల్ల రంకున్ను నేర్చుకొన్నట్టు.	Deceitfulness is learnt from mother in-law, adultry is learnt from a husband.Jealous watching leads to unfaithfulness.At the gate where suspicion enters, love goes out.If the wife sins, the husband is not innocent. (Italian.)
57	అత్తవారింటి సుఖము మోచేతి దెబ్బవంటిది.	The pleasure felt in a mother-in-law’s house is like a blow on the elbow.Happy is the wife who is married to a motherless son.
58	అత్తా వకరింటి కోడలే.	The mother-in-law was herself once a daughter-in-law.The mother-in-law forgets that she was a daughter-in-law. (Spanish.)
59	అత్తి పూచినట్టు.	Like the fig blossoming.This tree (Ficus Glomerata) bears no apparent blossoms.That is as likely as to see a hog ﬂy.
60	అదంత్రునికి ఆశపెట్టరాదు, బలవంతునికి చోటివ్వరాదు.	You should not encourage vain hopes in a helpless dependant, nor give place to a powerful man.
61	అదికుమ్ము, యిదిదుమ్ము, పదరా పందిట్లోకి.	There are smouldering ashes there, and dust here; let us go out into the Pandili.Pandili is a verandah thatched with leaves. ​
62	అదుగో అంటే ఆరునెలలు.	When he says, “ here you are,” it means six months.One “ Take it" is better than two " You shall have its." (French)
63	అదే పతకమయితే మనము బ్రతకమా.	If this were a brooch, might we not be made rich ?Patakam ( Sans. Padaka) is a valuable ornament attached to the Kanthasara (necklace). The allusion is to one made of false gold, and set with false gems.Disappointment.The treasure turned out charcoal. (Latin)
64	అదేమి రెడ్డీ వంగి వంగి నడుస్తావంటే, యెప్పటికాలు అట్టెట్టే అన్నాడట.	“What is it that makes you limp, Reddi?” asked one. “My old leg is the same as ever,” he replied.Habit.
65	అద్దముమీద పెసర గింజ పడ్డట్టు.	Like a Pesara seed on a looking glass.Used with reference to a remark aimed at a particular person, but conveyed in such general terms that he is unable to take notice of it.He said devil, but meant you. (Dutch)
66	అద్దములోని ముడుపు.	Like a bag of money in a looking glass.Visionary prospects.
67	అద్దెకు వచ్చిన గుర్రాలు అగడ్తెలు దాటుతవా.	Will hired horses leap over ditches ? ​
68	అద్దె పేరంటము, శిద్దె మురికి.	[ Going to] an entertainment on hire is [ to get] the dirt off a leathern ghi bottle.Pérantam is an invitation given to married women on the occasion of any domestic festival. Family priests sometimes hire married women to attend on such occasions, the condition being that all presents received 30 to the priest. The food set before these substitutes is often had.Come uncalled sit unserved.Go neither to a wedding nor a christening without invitation.
69	అధమునికి ఆలయ్యేటంతకంటే, బలవంతునికి బానిసె అయ్యేది మేలు.	Better be the hand-maid of a great man than the wife of a low fellow.Better fare hard with good men than feast with bad.
70	అధిక ఆషాఢం.	An intercalary Ashadha.The month Ashadha corresponds with June-July.Said by a man when excusing himself for not observing the rules of the house in which he was staying.
71	అధికాశ లోకదారిద్ర్యము.	Excessive cupidity leads to excessive poverty.Avarice bursts the bag. (French)
72	అని అనిపించుకోవలెనా అత్తగారా.	O mother-in-law, should you accuse me and bring a reproach on yourself in return ?Those who live in glass houses should not throw stones.
73	అన్నచొరవేగాని, అక్షరచొరవలేదు.	Clever at his meals, but stupid at his books.Well fed, but ill taught. (French)He has two stomachs to eat, and one to work. ​
74	అన్నము పెట్టితే అరిగిపోతుంది, చీరయిస్తే చిరిగిపోతుంది, వాతపెట్టితే కలకాలము వుంటుంది.	If I give you rice, you will eat it up; if I give you a cloth, it will wear out; but if I brand you, it will last for ever.Said by a stingy person to a beggar.
75	అన్నము లేకపోతే వరి అన్నము బట్ట లేకపోతే పట్టుబట్ట.	If you have no common food, [give me] the best; if you have no common cloth, [give me] a silk one.Said by an impertinent beggar when refused assistance by s stingy person.
76	అన్నరసముకన్నా ఆదరణరసము మేలు.	A kind reception is better than a feast. Welcome 1': the best cheer.In hospitality it is the spirit that is the chief thing. (Greek)
77	అన్నిబొండాల నీళ్లూ నీవే తాగరా అయ్యల్లా.	Alas! my son, drink the water of all the cocoanuts.The father had refused to give his son a single cocoanut while alive, but offered him the whole after he had died of thirst.To lock the stable door when the steed is stolen.
78	అన్నీ వున్నవి, అయిదువతనము లేదు.	I lack nothing, but I am a widow.
79	అన్యాయపురిలో ఆలూ మగడికి రంకు.	In the “ city of injustice,” husband and wife even are accused of adultery.
80	అపకారియినా వుపకారమే చెయ్యవలెను.	You should do good even to him who has done you evil."If thine enemy be hungry, give him bread to eat; and if he be thirsty, give him water to drink." Proverbs xxv. 21. ​
81	అప్పటిమాటలకు దుప్పటి యిచ్చినానుగాని, కలకాలము కప్పుకోనిచ్చినానా.	I presented you with the robe in return for the compliments you then paid me, but did I intend you to wear it for ever ?A liberal gift regretted and withdrawn.Give a thing and take again, And you shall ride in hell's wain.
82	అప్పవంక బావచుట్టము, ఆళ్లవంక తిరగలి చుట్టము.	He is nothing to me but my sister’s husband; the millstone is only valued for the grain it grinds.Allu is the plural of Aruga ( Paspalum Scrobiculatmn )
83	అప్పు ఆకటికి వచ్చునా.	Will a debt be repaid when you are hungry ?Can you ever get a debt repaid when you are in want?
