,proverb,translation
1,അകത്തിട്ടാൽ പുറത്തറിയാം,
2,അകത്തു കത്തിയും പുറത്തു പത്തിയും,
3,"അകപ്പെട്ടവന് അഷ്ടമരാശി,ഓടിപ്പോയവനു ഒമ്പതാമെടത്തു വ്യാഴം",
4,അകപ്പെട്ടാൽ പന്നിചുരയ്ക്കാ,
5,അകലെ കൊള്ളാത്തവൻ അടുക്കലും കൊള്ളുകയില്ലാ,
6,അകലെ പോന്നവനെ അരികെവിളിച്ചാൽ അരക്കാത്തുട്ടുചേതം (അരക്കാശുനഷ്ടം),
7,അകൗശലലക്ഷണം സാധനദൂഷ്യം,
8,അക്കരനിന്നവൻ തോണിഉരുട്ടി,
9,അക്കരനിൽക്കുന്ന പട്ടർ തോണിമുക്കി,
10,അക്കരെ മാവിലോൻ കെണിവച്ചിട്ടു എന്നോടോ കൂരാ കണ്ണൂമിഴിക്കുന്നു,
11,"അക്കരെനിൽക്കുമ്പോൾ ഇക്കരെപച്ച,ഇക്കരെ നിൽക്കുമ്പോൾ അക്കരെപച്ച*",
12,അങ്കവും കാണാം താളിയും ഒടിക്കാം,
13,അങ്ങാടിത്തോലിയം അമ്മയോടൊ?,
14,അങ്ങാടിയിൽ തോറ്റാൽ അമ്മയ്ക്കു കുറ്റം,
15,അങ്ങാടിയിലാനവന്നതുപോലെ,
16,അങ്ങില്ലാപൊങ്ങിന്റെ വേർകിളക്കുക,
17,അങ്ങുന്നെങ്ങാൻവെള്ളമൊഴുകുന്നതിന് ഇങ്ങുന്നുചെരിപ്പഴിക്കണമൊ,
18,അങ്ങുമുണ്ടു ഇങ്ങുമുണ്ടു വെന്തചോറ്റിനു പംകുമുണ്ടു,
19,അച്ചനുക്കച്ചൻവരുമ്പോൾ കൊച്ചച്ചൻപരിയത്തു,
20,അച്ചനെ കുത്തിയ കാള ചെറുക്കനെയും കുത്തും,
21,അച്ചനിച്ഛയായതും പാൽ വൈദ്യനാർ ചൊന്നതും പാൽ,
22,അച്ചനും കചനും അന്തരം വരാതെ,
23,അച്ചികുടിച്ചതെ കുട്ടികുടിക്കൂ,
24,അച്ചിക്കുകൊഞ്ചുപക്ഷം നായർക്കു ഇഞ്ചിപക്ഷം,
25,അച്ഛൻ ആനപ്പാപ്പാൻ എന്നുവെച്ചു മകന്റെ ചന്തിക്കും തഴമ്പുണ്ടാകുമൊ,
26,അച്ഛൻ ആനപ്പുറത്തുകയറിയാൽ മകന്റെ പൃഷ്ഠത്തിൽ തഴമ്പുകാണുമൊ-ച്ഛനുപിറന്ന മകനും അടിച്ചിപ്പാരചൂട്ടയും രണ്ടുമുതകും,
27,അജഗജാന്തരം,
28,അഞ്ചഞ്ചുപലം ഒന്നഞ്ചുപലം,
29,അഞ്ചെരുമ കറക്കുന്നതു അയൽ അറിയും; കഞ്ഞിവാര്ൎത്തുണ്ണുന്നതു നെഞ്ഞറിയും,
30,അടക്കമില്ലപ്പെണ്ടി ആയിരം കോൽ തിരിയണം,
31,അടയ്ക്കയാകുമ്പോൾ മടിയിൽവെക്കാം അടയ്ക്കാമരം (കഴുങ്ങായാൽ) വെച്ചുകൂടാ,
32,അടച്ചവായിലീച്ചകയറുകയില്ലാ,
33,അടികഴിഞ്ഞിട്ടു വടിവെട്ടാൻപോക,
34,അടികൊണ്ടു വളർന്നകുട്ടിയും അടച്ചുവേപ്പിച്ച കഷായവും ഒരുപോലെ,
35,അടികൊള്ളാത്തപിള്ള പഠിയാ,
36,അടിചെയ്യുമുപകാരം അണ്ണന്തമ്പിഅറികയില്ലാ,
37,അടിച്ചാൽ അടിച്ചവഴിയെ പോയില്ലെങ്കിൽ പോയവഴിയെ അടിച്ചെടുക്കണം,
38,അടിമയ്ക്ക് കുപ്പ,
39,അടിമേലടിച്ചാൽ അമ്മിയും പൊടിയും,
40,അടിയോളംനന്നല്ല (ഒക്കുമൊ) അണ്ണന്തമ്പി,
41,അടിസ്ഥാനമുറച്ചെ ആരൂഢമുറയ്‌ക്കൂ,
42,അടുക്കളക്കാരൻ സ്വന്തമെങ്കിൽ കടപ്പന്തിയും മതി,
43,"അടുക്കളയല്ല, അരങ്ങത്രെ",
44,"അടുക്കുപറയുന്നവനഞ്ഞാഴി, മുട്ടൻ വെട്ടുന്നവനുമുന്നാഴി",
45,അടുത്തവനെകെടുത്തുന്നവനു ആയിരം പാപം,
46,അട്ടയെ കൊല്ലുവാൻ പോലും ക്ഷാരം ഇല്ല,
47,അട്ടയെപിടിച്ചു മെത്തയിൽ കിടത്തിയാൽ കിടക്കുമോ,
48,"അട്ടം പൊളിഞ്ഞാൽ അകത്തു, പാലം മുറിഞ്ഞാൽ ഒഴിവിൽ",
49,അട്ടയ്ക്ക് കണ്ണുകൊടുത്താൽ ഉറിയിൽ കലംവെച്ചുകൂടാ,
50,അട്ടയ്ക്ക് കണ്ണൂം കുതിരക്കു കൊമ്പു കൊടുത്തിരുന്നെങ്കിലോ,
51,അട്ടക്ക് പൊട്ടക്കുളം,
52,അണകടന്ന വെള്ളം നോക്കി അലച്ചാലും തിരിയാതു,
53,അണിയലംകെട്ടിയെ തേവരാവൂ,
54,അണുജലംകുടിച്ചാൽ കടലിലെ വെള്ളംവറ്റുമൊ,
55,അണ്ടികളഞ്ഞ അണ്ണാനെപോലെ,
56,അണ്ടിയോടടുത്തെങ്കിലെ മാങ്ങായുടെ പുളി അറിയൂ,
57,അണ്ടിയോ മാവോ മൂത്തതു,
58,അണ്ണാക്കിന്റെ ആണി അണ്ണവായനു അപ്പം,
59,അണ്ണാക്കിലെ തോൽ അശേഷം പോയാലും അംശത്തിൽ ഒട്ടും കുറയ്ക്കയില്ലാ,
60,അണ്ണാൻ കുഞ്ഞിനെ മരംകേറ്റം പഠിപ്പിക്കെണമൊ,
61,അണ്ണാനു ആനയോളം വാപൊളിക്കാമൊ,
62,അണ്ണാടികാണ്മാൻ കണ്ണാടിവേണ്ട,
63,അതിക്രമം ചെയ്താൽ പരിഭ്രമമുണ്ടാം,
64,അതിന്റെമുകളിൽ കാച്ചത്‌ അതിൻറെ കീഴ് വീഴും,
65,അതിബുദ്ധിക്ക് അല്പായുസ്സ്,
66,അതിമോഹം ചക്രം ചവിട്ടും (ചുമക്കും),
67,അതിവിടയം അകത്തെങ്കിൽ അതിസാരം പുറത്തും,
68,അതി സർവത്രവർജ്ജയേൽ,
69,അത്തം ഞാറ്റുതലയും അരചർകോപവും പിത്തവ്യാധിയും പിതൃശാപവും ഒക്കുവോളം തീരാ,
70,അത്താണികണ്ട കൂലിക്കാരനെപ്പോലെ,
71,"അത്താഴം ഉണ്ടാൽ അരക്കാതം നടക്കണം, മുത്താഴമെങ്കിൽ മുള്ളേലും ശയിക്കണം",
72,അത്യാഗ്രഹാദികൾ ആപദാമാസ്പദം,
73,അത്യാശെക്കനർത്ഥം,
74,അധികംപറയുന്നവൻ കളവുംപറയും,
75,അധികമായാലമൃതവുംവിഷം,
76,അധികംസ്നേഹം കുടിയെകെടുക്കും,
77,അനച്ചഅടുപ്പേൽ ആനയുംവേകും,
78,അനച്ചകഞ്ഞിക്കു അരുകുനന്നു,
79,അനച്ചവെള്ളത്തിൽചാടിയ പൂച്ച പച്ചവെള്ളംകണ്ടാലറയ്ക്കും,
80,അനിർവേദ പ്രാപ്യാണി ശ്രേയാംസി,
81,അനുഭവംകൊണ്ടറിയാം ജാതകഫലം,
82,അനുത്സേകഃ ഖലുവിക്രമാലങ്കാരഃ,
83,അന്തിവിരുന്നു കുരുന്നിനുകേടു,
84,താന്നത്തിന്റെബലവും ആയുസ്സിന്റെശക്തിയുമുണ്ടെങ്കിൽ മനത്താലിങ്കൽാണാം,
85,അന്നനടയും തന്നനടയും ഇല്ല,
86,അന്നന്നുവെട്ടുന്ന വാളിനു നെയ്യിടുക,
87,അന്നരംചെന്നാലെ കിന്നരംപാടു,
88,"അന്നവിചാരം, മുന്നവിചാരം, പിന്നെവിചാരം, കാര്യവിചാരം",
89,അന്നുതീരാപ്പണികൊണ്ടു അന്തിയാക്കരുതു,
90,അന്നൂണിന്നു അമ്മയെകൊല്ലുന്നവൻ,
91,അന്നം മുട്ടിയാൽ എല്ലാം മുട്ടും,
92,അൻപറ്റാൽ തുമ്പറ്റു,
93,അൻപില്ലാത്തവനോടു തുമ്പുകെട്ടിയതു അറിവില്ലാത്തവന്റെ (ഭോഷത്വം)ോഴത്തം,
94,അൻപോടുകൊടുത്താൽ അമൃതു,
95,അപമര്യാദക്കു കീഴ്‌മര്യാദ പറഞ്ഞാലൊ,
96,അപ്പം തിന്നണൊ കുഴിയെണ്ണണൊ,
97,അപ്പം തിന്നാൽ പോരെ കുഴിയെണ്ണുന്നതെന്തിന്,
98,അഭ്യസിച്ചാൽ ആനയെ എടുക്കാം,
99,അമ്പലത്തിലെ പൂച്ച ദേവരെപേടിക്കുമോ,
100,അമ്പലം ചെറുതെങ്കിലും പ്രതിഷ്ഠ കൂടും,
101,അമ്പലംവിഴുങ്ങിക്കു വാതിൽപലക പപ്പടം,
102,അമ്പാഴത്തിന്റെ കൊമ്പല്ല പിടിച്ചതു,
103,"അമ്പു കളഞ്ഞോൻ വില്ലൻ,ഓലകളഞ്ഞോൻ എഴുത്തൻ",
104,അമ്പു കമ്പളത്തും വില്ലു ശെക്കളത്തും(ചെപ്പാട്ടും)എയ്യുന്നനായർനങ്ങാട്ടുപടിക്കലും എത്തി,
105,അമ്പൊന്നേയുള്ളു നേരേനില്ലുകള്ളാ,
106,അമിതവാനു അമൃതവും വിഷം,
107,അമക്കി അളന്നാലും ആഴക്കു മൂഴക്കാകാ,
108,അമ്മചത്തുകിടന്നാലും വാഴക്കാത്തോലു വാരിക്കളഞ്ഞിട്ടുകരയണം,
109,അമ്മപോറ്റിയ മക്കളും ഉമ്മപോറ്റിയ കോഴിയും അടങ്ങുകയില്ല.,
110,അമ്മയുറിമേലും പെങ്ങൾ കീഴിലും ഓൾ ഉരലിലും,
111,അമ്മയും മകളും പെണ്ണു തന്നെ,
112,"അമ്മയെ തച്ചാൽ അച്ഛൻ ചോദിക്കണം,പെങ്ങളെ തച്ചാൽ അളിയൻോദിക്കണം",
113,അമ്മവിട്ട പശുക്കിടാവെ പോലെ,
114,"അമ്മായി ഉടച്ചതു മൺചട്ടി, മരുമകൾ ഉടച്ചതു പൊൻചട്ടി",
115,അമ്മാവിയമ്മ ചത്തിട്ടു മരുമകളുടെ കരച്ചിൽ,
116,അമ്മിയും കുഴവിയും ചവുട്ടീട്ടോ വന്നതു,
117,അമ്മക്കു പ്രാണവേദന മകൾക്കു വീണവായന,
118,അമ്മോച്ചൻ നിൽക്കുനന്നെടം അമ്മോച്ചനും പശു നിൽക്കുന്നെടം പശുവുംിൽക്കട്ടെ,
119,അംശത്തിലധികംഎടുത്താൽ ആകാശം പൊളിഞ്ഞു തലയിൽ വീഴും,
120,അയിലത്തല അളിയനും കൊടുക്കയില്ല,
121,അരക്കാശിനു കുതിരയും വേണം അക്കരയതു ചാടുകയും വേണം,
122,അരക്കാശു കൊണ്ടുണ്ടായ അനർത്ഥം ആയിരം കൊടുത്താലും തീരുമൊ,
123,അരക്കുടം തുളുമ്പും നിറക്കുടം തുളുമ്പുകയില്ല,
124,അരക്കും കൊണ്ടു ചെല്ലുമ്പോൾ മെഴുക്കും കൊണ്ടു വരും,
125,അരചനന്നുകേൾക്കും ദൈവംനിന്നുകേൾക്കും,
126,അരചനെക്കൊതിച്ചുപുരുഷനെ വെടിഞ്ഞവൾക്കു അരചനുമില്ലുരുഷനുമില്ല,
127,അരചൻ വീണാൽ പടയും തീരും- (ഉണ്ടൊ),
128,അരച്ചിടിച്ചാൽ മുഖത്തു തെറിക്കും,
129,അരണ കടിച്ചാൽ ഉടനെ മരണം- (മരണം തിട്ടം),
130,അരണക്കു മറതി,
